filename,text
03-01-08-01-01-01-02.wav, Kids are talking by the door.
03-01-01-01-01-01-02.wav, Kids are talking by the door.
03-01-07-02-01-02-02.wav, Kids are talking by the door.
03-01-07-01-01-02-02.wav, Kids are talking by the door.
03-01-01-01-02-01-02.wav, Dogs are sitting by the door.
03-01-06-02-02-01-02.wav, Dogs are sitting by the door.
03-01-04-01-02-01-02.wav, Dogs are sitting by the door.
03-01-01-01-01-02-02.wav, Kids are talking by the door.
03-01-02-01-01-02-02.wav, Kids are talking by the door.
03-01-03-01-01-01-02.wav, Kids are talking by the door.
03-01-07-01-02-02-02.wav, Dogs are sitting by the door.
03-01-05-01-01-02-02.wav, Kids are talking by the door.
03-01-03-01-01-02-02.wav, Kids are talking by the door.
03-01-06-02-01-02-02.wav, Kids are talking by the door.
03-01-08-02-02-01-02.wav, Dogs are sitting by the door.
03-01-06-02-01-01-02.wav, Kids are talking by the door.
03-01-06-01-02-02-02.wav, Dogs are sitting by the door.
03-01-02-01-02-01-02.wav, Dogs are sitting by the door.
03-01-04-02-02-02-02.wav, Dogs are sitting by the door.
03-01-03-02-01-02-02.wav, Kids are talking by the door.
03-01-07-01-01-01-02.wav, Kids are talking by the door.
03-01-08-02-01-01-02.wav, Kids are talking by the door.
03-01-05-02-01-01-02.wav, Kids are talking by the door.
03-01-03-02-02-01-02.wav, Dogs are sitting by the door.
03-01-06-01-01-01-02.wav, Kids are talking by the door.
03-01-05-01-02-02-02.wav, Dogs are sitting by the door.
03-01-05-02-02-01-02.wav, Dogs are sitting by the door!
03-01-05-02-02-02-02.wav, Dogs are sitting by the door.
03-01-08-02-01-02-02.wav, Kids are talking by the door.
03-01-02-01-02-02-02.wav, Dogs are sitting by the door.
03-01-08-02-02-02-02.wav, Dogs are sitting by the door.
03-01-03-02-02-02-02.wav, Dogs are sitting by the door.
03-01-02-02-02-01-02.wav, Dogs are sitting by the door.
03-01-05-01-01-01-02.wav, Kids are talking by the door.
03-01-05-02-01-02-02.wav, Kids are talking by the door.
03-01-03-02-01-01-02.wav, Kids are talking by the door.
03-01-04-02-01-02-02.wav, Kids are talking by the door.
03-01-07-02-02-02-02.wav, Dogs are sitting by the door.
03-01-04-02-02-01-02.wav, Dogs are sitting by the door.
03-01-02-02-02-02-02.wav, Dogs are sitting by the door.
03-01-06-01-02-01-02.wav, Dogs are sitting by the door.
03-01-02-02-01-02-02.wav, Kids are talking by the door.
03-01-08-01-02-01-02.wav, Dogs are sitting by the door.
03-01-07-01-02-01-02.wav, Dogs are sitting by the door.
03-01-02-01-01-01-02.wav, Kids are talking by the door.
03-01-06-02-02-02-02.wav, Dogs are sitting by the door.
03-01-03-01-02-02-02.wav, Dogs are sitting by the door.
03-01-06-01-01-02-02.wav, Kids are talking by the door.
03-01-05-01-02-01-02.wav, Dogs are sitting by the door.
03-01-01-01-02-02-02.wav, Dogs are sitting by the door.
03-01-04-01-01-02-02.wav, Kids are talking by the door.
03-01-04-02-01-01-02.wav, Kids are talking by the door.
03-01-07-02-02-01-02.wav, Dogs are sitting by the door.
03-01-08-01-02-02-02.wav, Dogs are sitting by the door.
03-01-08-01-01-02-02.wav, Kids are talking by the door.
03-01-02-02-01-01-02.wav, Kids are talking by the door.
03-01-04-01-02-02-02.wav, Dogs are sitting by the door.
03-01-04-01-01-01-02.wav, Kids are talking by the door.
03-01-03-01-02-01-02.wav, Dogs are sitting by the door.
03-01-07-02-01-01-02.wav, Kids are talking by the door.
03-01-02-01-02-02-17.wav, Dogs are sitting by the door.
03-01-05-02-01-02-17.wav, Kids are talking by the door.
03-01-03-01-01-02-17.wav, Kids are talking by the door.
03-01-02-02-01-01-17.wav, Kids are talking by the door.
03-01-07-01-02-01-17.wav, Dogs are sitting by the door.
03-01-02-02-02-01-17.wav, Dogs are sitting by the door.
03-01-03-02-02-01-17.wav, The dogs are sitting by the door!
03-01-02-01-02-01-17.wav, Dogs are sitting by the door.
03-01-08-02-01-02-17.wav, Kids are talking by the door!
03-01-05-01-01-02-17.wav, Kids are talking by the door.
03-01-07-01-01-02-17.wav, Kids are talking by the door.
03-01-01-01-01-01-17.wav, Kids are talking by the door.
03-01-04-02-02-01-17.wav, Dogs are sitting by the door.
03-01-08-02-01-01-17.wav, Kids are talking by the door!
03-01-03-02-01-01-17.wav, Kids are talking by the door!
03-01-08-02-02-02-17.wav, Dogs are sitting by the door!
03-01-06-02-02-02-17.wav, Dogs are sitting by the door.
03-01-06-01-02-01-17.wav, Dogs are sitting by the door.
03-01-08-01-02-02-17.wav, Dogs are sitting by the door.
03-01-05-01-02-02-17.wav, Dogs are sitting by the door.
03-01-04-02-01-01-17.wav, Kids are talking by the door.
03-01-05-02-02-02-17.wav, Dogs are sitting by the door.
03-01-03-01-02-01-17.wav, Dogs are sitting by the door.
03-01-05-02-02-01-17.wav, Dogs are sitting by the door.
03-01-05-02-01-01-17.wav, Kids are talking by the door.
